Timestamp,participant,sessionId,isDda,isP2Human,timeInSession,turn,player,move,thinkTime,isTerminal,v,simulations,pi,scoreP1,scoreP2,boardState
6/18/2026 9:56:01,Rizka,Rizka_S1_34B5,FALSE,FALSE,738.87,35,-1,4,19.72,FALSE,0.999,400,0.3673646;0.002095947;0.0006525328;0.0006049717;0.6290351;5.741979E-05;0.0001890852,20,70,0;0;0;1;2;0;2;20;1;0;0;0;2;0;0;70
6/18/2026 9:56:01,Rizka,Rizka_S1_34B5,FALSE,FALSE,745.41,36,1,3,6.54,FALSE,-0.999,0,0.0002272832;0.0002845683;0.001552016;0.4425986;0.03053212;0.0003395895;0.5244659,20,70,0;0;0;1;2;0;2;20;1;0;0;0;0;1;1;70
6/18/2026 9:56:02,Rizka,Rizka_S1_34B5,FALSE,FALSE,750.59,37,1,5,5.18,FALSE,-0.999,0,0.0007517089;0.0002059842;0.0004496265;0.0006959889;0.001255073;0.6921716;0.3044699,21,70,0;0;0;0;0;1;3;21;1;0;0;0;0;1;1;70
6/18/2026 9:56:02,Rizka,Rizka_S1_34B5,FALSE,FALSE,771.75,38,-1,5,21.16,FALSE,0.995,400,0.2004486;0.06139703;0.2081873;0.001949179;0.001223955;0.4426045;0.08418945,22,70,0;0;0;0;0;0;0;22;2;1;1;0;0;1;1;70
6/18/2026 9:56:02,Rizka,Rizka_S1_34B5,FALSE,FALSE,777.28,39,1,0,5.53,FALSE,-0.995,0,0.9951974;0.0002601006;0.0005710062;0.0001120872;0.0009015449;0.002154798;0.0008029928,22,71,1;0;0;0;0;0;0;22;2;1;1;0;0;0;0;71
6/18/2026 9:56:03,Rizka,Rizka_S1_34B5,FALSE,FALSE,797.33,40,-1,0,20.05,FALSE,0.996,400,0.5911146;0.3513321;0.05667669;0.0006460692;0.0001525162;2.074168E-05;5.747732E-05,22,71,0;1;0;0;0;0;0;22;2;1;1;0;0;0;0;71
6/18/2026 9:56:03,Rizka,Rizka_S1_34B5,FALSE,FALSE,801.57,41,1,1,4.24,FALSE,-0.989,0,9.124844E-05;0.9998274;7.697835E-06;6.446471E-06;2.828025E-05;2.085426E-05;1.826525E-05,22,71,0;1;0;0;0;0;0;22;0;2;0;1;1;0;0;71
6/18/2026 9:56:04,Rizka,Rizka_S1_34B5,FALSE,FALSE,819.73,42,-1,1,18.16,FALSE,0.992,400,0.0001462983;0.8004682;0.0009696598;0.1978124;0.0003715943;9.883523E-05;0.0001329741,24,71,0;0;0;0;0;0;0;24;0;2;0;1;0;0;0;71
6/18/2026 9:56:04,Rizka,Rizka_S1_34B5,FALSE,FALSE,838.79,44,-1,2,19.06,FALSE,0.998,400,0.0007362748;0.001072506;0.6840789;0.005549802;0.2633462;0.04483967;0.0003766704,24,71,0;0;0;0;0;0;0;24;0;0;1;0;1;1;0;71
6/18/2026 9:56:05,Rizka,Rizka_S1_34B5,FALSE,FALSE,855.38,46,-1,5,16.59,FALSE,0.998,400,0.0002259254;0.0005798901;0.001059759;0.1709444;0.1157471;0.7108226;0.0006202808,24,71,0;0;0;0;0;0;0;24;0;0;0;1;1;1;0;71
